,Headline,Authors,Links,Short_description,Category,Date
70,"How To Take The Ultimate Vacation In Clearwater Beach, Florida",HuffPost Staff,https://www.huffpost.com/entry/vacation-guide-things-to-do-in-clearwater-beach_l_627a72c9e4b0b7c8f089e0ae,"Once your feet touch the sand or you taste the seafood, you'll wonder why it took you so long to visit. Here are the best things to do.",travel,"May 16, 2022, 05:45 AM EDT | Updated May 16, 2022"
71,Mistakes Tourists Make While Visiting San Francisco,Caroline Bologna,https://www.huffpost.com/entry/mistakes-tourists-san-francisco_l_6278793de4b009a811c53993,Bay Area locals share the faux pas they often see visitors committing.,travel,"May 12, 2022, 11:53 AM EDT | Updated May 13, 2022"
72,"How To Take The Ultimate Vacation On Lopez Island, Washington",HuffPost Staff,https://www.huffpost.com/entry/vacation-guide-things-to-do-in-lopez-island_l_6265dae2e4b07c34e9e2cd14,"If you want a magical, outdoorsy escape with plenty of spectacular views ― you have to visit this Pacific Northwest town.",travel,"May 9, 2022, 05:45 AM EDT"
73,"How To Take The Ultimate Vacation In Lewisburg, West Virginia",HuffPost Staff,https://www.huffpost.com/entry/vacation-guide-things-to-do-in-lewisburg_l_62605e2ce4b0dc5d7b69b30e,"Want to soak in the mountains or the fall foliage while visiting breweries, restaurants and historic sites? Put this charming city on your list.",travel,"May 2, 2022, 05:45 AM EDT"
74,'Rollerboard' Or 'Rollaboard': What's The Correct Term For A Suitcase?,Caroline Bologna,https://www.huffpost.com/entry/rollaboard-rollerboard-suitcase_l_621feda3e4b0a7b54cd8d74c,Experts weigh in on the wheeled luggage terminology debate.,travel,"Apr 27, 2022, 11:02 AM EDT"
75,Shoe Bags: The Packing Essential Not Enough People Use In Their Suitcase,Caroline Bologna,https://www.huffpost.com/entry/shoe-bags-packing-essential_l_6266b11de4b00b4e0181e36e,Here's what you need to know about this crucial travel item.,travel,"Apr 26, 2022, 12:17 PM EDT | Updated Apr 28, 2022"
76,How To Bring Luxury To Your Vacation When You're Traveling On A Budget,Caroline Bologna,https://www.huffpost.com/entry/luxury-to-budget-vacation_l_62225db9e4b012a2628a77b1,Want to make your trip feel more lavish? These expert-backed tips will elevate your experience without breaking the bank.,travel,"Apr 21, 2022, 04:30 PM EDT | Updated Apr 26, 2022"
77,"Mistakes Tourists Make While Visiting Washington, D.C.",Caroline Bologna,https://www.huffpost.com/entry/mistakes-tourists-washington-dc_l_62548bdbe4b06c2ea321a5c0,"If you're planning to visit our nation's capital, don't make these errors.",travel,"Apr 20, 2022, 11:53 AM EDT"
78,How To Make The Most Of Your Last Few Hours Of Vacation,Caroline Bologna,https://www.huffpost.com/entry/vacation-departure-day-what-to-do_l_625457b5e4b052d2bd589c2b,Experts share their advice for making your return travel day less stressful and more fun.,travel,"Apr 15, 2022, 05:45 AM EDT"
79,CDC Extends Travel Mask Requirement To May 3 As Covid Cases Rise,Zeke Miller and David Koenig,https://www.huffpost.com/entry/coronavirus-travel-mask-mandate_l_6257c140e4b0723f80154dfa,The CDC said it wanted more time to study the BA.2 omicron subvariant that is now responsible for the vast majority of cases in the U.S.,travel,"Apr 14, 2022, 02:47 AM EDT"
80,"U.S. Pools Close, Go Without Lifeguards Amid Labor Shortage",ARLEIGH RODGERS and CLAIRE SAVAGE,https://www.huffpost.com/entry/united-states-lifeguard-shortage_n_62b20320e4b0cf43c85caad6,"Indianapolis typically fills 17 pools each year, but with a national lifeguard shortage exacerbated by the COVID-19 pandemic, just five are open this summer.",business,"Jun 21, 2022, 01:56 PM EDT"
81,Maryland Apple Workers Face Hurdles After Vote To Unionize,AP,https://www.huffpost.com/entry/apple-maryland-union-vote_n_62afad7fe4b06169ca9ad2a8,The historic vote by employees of a Maryland Apple store to unionize is a significant step in a lengthy process that labor experts say is heavily stacked against workers in favor of their employers.,business,"Jun 19, 2022, 07:22 PM EDT"
82,Apple Store Workers In Maryland Become First To Unionize,Dave Jamieson,https://www.huffpost.com/entry/apple-store-workers-maryland-first-to-unionize_n_62ae1945e4b0cf43c8576e13,Workers at the store in Towson Center voted to form a union despite Apple's opposition.,business,"Jun 18, 2022, 08:40 PM EDT"
83,"Elon Musk Offers Thoughts On Finances, Space Aliens In First Meeting With Twitter Staff",Marita Vlachou,https://www.huffpost.com/entry/elon-musk-twitter-staff-all-hands_n_62ac3d70e4b0cdccbe5be13c,"“Right now the costs exceed the revenue, so that’s not a great situation to be in,"" Musk reportedly told employees.",business,"Jun 17, 2022, 07:17 AM EDT"
84,Jan. 6 Committee Investigating Trump’s Coup Attempt Announces Surprise Hearing,S.V. Date,https://www.huffpost.com/entry/jan-6-committee-surprise-hearing_n_62b9e8f3e4b0c77098bfb9e8,The panel just last week said it would take a two-week break and resume after the congressional July Fourth recess.,business,"Jun 27, 2022, 01:36 PM EDT | Updated 4 hours ago"
85,Ben Affleck's 10-Year-Old Son Drives Lamborghini Rental Into Parked Car,Ron Dicker,https://www.huffpost.com/entry/ben-affleck-son-lamborghini_n_62b9aa89e4b06169caa9e6f3,"No harm done, said the dealer after viral video showed young Samuel Affleck, his famous father and Jennifer Lopez in their misadventure.",business,"Jun 27, 2022, 10:26 AM EDT | Updated 6 hours ago"
86,"My Husband And I Are Trying To Start A Family. Six Months Ago, I Had An Abortion.",Kate Sark,https://www.huffpost.com/entry/abortion-for-wanted-pregnancy_n_62b8bb5be4b04a61736c1fd0,"""Our choice was, and remains, controversial. But it shouldn’t be.""",business,"Jun 27, 2022, 09:00 AM EDT | Updated 7 hours ago"
87,More Than 1 Million Voters Switch To GOP In Warning For Dems,Steve Peoples and Aaron Kessler,https://www.huffpost.com/entry/election-2022-party-switchers_n_62b9ad0ee4b06594c1e76604,Nowhere is the shift more pronounced — and dangerous for Democrats — than in the suburbs.,business,"Jun 27, 2022, 09:19 AM EDT"
88,Supreme Court Sides With Coach Who Sought To Pray After Game,JESSICA GRESKO,https://www.huffpost.com/entry/supreme-court-praying-coach_n_62b9bb54e4b0cdccbe6ed2be,The court ruled 6-3 along ideological lines for the coach. The justices said the coach's prayer was protected by the First Amendment.,business,"Jun 27, 2022, 10:16 AM EDT | Updated 2 hours ago"
89,"Dog Interrupts International Soccer Match, Insists On Belly Rubs",Josephine Harvey,https://www.huffpost.com/entry/dog-belly-rub-soccer-match_n_62b93c30e4b0cf43c866d24d,The friendly pup had to be carried off after he demanded pats at a Chile-Venezuela game.,business,"Jun 27, 2022, 02:53 AM EDT"
90,UPS Test Drives Tiny Battery-Powered Cycles For Deliveries In Congested Cities,Julie Waker and Ted Shaffrey,https://www.huffpost.com/entry/ups-cycles-congested-cities_n_62a9079fe4b06169ca91a766,"UPS unveiled Tuesday a battery-powered, four-wheeled cycle to more efficiently haul cargo in some of the world’s most congested streets and to reduce its carbon footprint.",business,"Jun 14, 2022, 06:20 PM EDT"
91,Data Likely Shows Teslas On Autopilot Crash More Than Rivals,TOM KRISHER,https://www.huffpost.com/entry/united-states-tesla-vehicle-crashes_n_62a8d13be4b04a6173550d61,The government plans soon to release data on collisions involving vehicles with autonomous or partially automated driving system that will likely single out Teslas for a disproportionately high number of such crashes.,business,"Jun 14, 2022, 02:25 PM EDT"
92,Elon Musk To Take Questions From Twitter Employees For First Time Since Deal,Marita Vlachou,https://www.huffpost.com/entry/elon-musk-twitter-employees-meeting_n_62a84b32e4b0cf43c84e1d7d,Twitter CEO Parag Agrawal announced the news in a company-wide email Monday.,business,"Jun 14, 2022, 08:30 AM EDT"
93,Bitcoin Plunges As Major Crypto Lender Halts Operations,KEN SWEET,https://www.huffpost.com/entry/cryptocurrency-prices-celsius_n_62a76042e4b06594c1cc569c,"Bitcoin and other cryptocurrencies were collapsing in price Monday, after the major crypto lender Celsius halted all withdrawals citing “extreme market conditions."".",business,"Jun 13, 2022, 12:08 PM EDT"
94,Starbucks Union Says Howard Schultz Broke The Law During New York Times Interview,Dave Jamieson,https://www.huffpost.com/entry/starbucks-union-howard-schultz-new-york-times_n_62a4874be4b0cdccbe505c12,Starbucks Workers United filed unfair labor practice charges over the CEO’s comment that he could never embrace a union.,business,"Jun 11, 2022, 09:08 AM EDT | Updated Jun 11, 2022"
95,Massachusetts Trader Joe’s Workers Seek Election To Form Company's First Union,Dave Jamieson,https://www.huffpost.com/entry/trader-joes-union-election-petition-massachusetts_n_62a0d014e4b06594c1c35228,None of the chain's more than 500 stores has union representation.,business,"Jun 8, 2022, 01:27 PM EDT"
96,Starbucks Workers Unionize Store Where ‘Memphis Seven’ Were Fired,Dave Jamieson,https://www.huffpost.com/entry/starbucks-workers-unionize-store-where-memphis-seven-were-fired_n_629f9995e4b016c4eefe4e14,Labor board officials accused the coffee chain of retaliating against union organizers.,business,"Jun 7, 2022, 03:20 PM EDT"
97,Trader Joe’s Workers Say The Company Is Cracking Down On Their Union Effort,Dave Jamieson,https://www.huffpost.com/entry/trader-joes-workers-union-crackdown_n_629f7e8de4b07aa9389e9f1d,"Employees have accused the company of violating labor law, saying managers have instructed them to remove union pins or go home.",business,"Jun 7, 2022, 01:41 PM EDT | Updated Jun 8, 2022"
98,"Elon Musk Reportedly Tells Tesla Workers To Return To The Office, Or Quit",Jazmin Tolliver,https://www.huffpost.com/entry/elon-musk-tesla-space-x-back-to-office-or-quit_n_6297c655e4b090b53b80d864,"""If you don't show up, we will assume you have resigned,"" the billionaire's email allegedly said.",business,"Jun 1, 2022, 07:42 PM EDT"
99,Jan. 6 Committee Investigating Trump’s Coup Attempt Announces Surprise Hearing,S.V. Date,https://www.huffpost.com/entry/jan-6-committee-surprise-hearing_n_62b9e8f3e4b0c77098bfb9e8,The panel just last week said it would take a two-week break and resume after the congressional July Fourth recess.,business,"Jun 27, 2022, 01:36 PM EDT | Updated 4 hours ago"
100,Ben Affleck's 10-Year-Old Son Drives Lamborghini Rental Into Parked Car,Ron Dicker,https://www.huffpost.com/entry/ben-affleck-son-lamborghini_n_62b9aa89e4b06169caa9e6f3,"No harm done, said the dealer after viral video showed young Samuel Affleck, his famous father and Jennifer Lopez in their misadventure.",business,"Jun 27, 2022, 10:26 AM EDT | Updated 6 hours ago"
101,"My Husband And I Are Trying To Start A Family. Six Months Ago, I Had An Abortion.",Kate Sark,https://www.huffpost.com/entry/abortion-for-wanted-pregnancy_n_62b8bb5be4b04a61736c1fd0,"""Our choice was, and remains, controversial. But it shouldn’t be.""",business,"Jun 27, 2022, 09:00 AM EDT | Updated 7 hours ago"
102,More Than 1 Million Voters Switch To GOP In Warning For Dems,Steve Peoples and Aaron Kessler,https://www.huffpost.com/entry/election-2022-party-switchers_n_62b9ad0ee4b06594c1e76604,Nowhere is the shift more pronounced — and dangerous for Democrats — than in the suburbs.,business,"Jun 27, 2022, 09:19 AM EDT"
103,Supreme Court Sides With Coach Who Sought To Pray After Game,JESSICA GRESKO,https://www.huffpost.com/entry/supreme-court-praying-coach_n_62b9bb54e4b0cdccbe6ed2be,The court ruled 6-3 along ideological lines for the coach. The justices said the coach's prayer was protected by the First Amendment.,business,"Jun 27, 2022, 10:16 AM EDT | Updated 2 hours ago"
104,"Dog Interrupts International Soccer Match, Insists On Belly Rubs",Josephine Harvey,https://www.huffpost.com/entry/dog-belly-rub-soccer-match_n_62b93c30e4b0cf43c866d24d,The friendly pup had to be carried off after he demanded pats at a Chile-Venezuela game.,business,"Jun 27, 2022, 02:53 AM EDT"
105,Elon Musk Says He Welcomes Recession So Money Stops 'Raining' Down On 'Fools',Mary Papenfuss,https://www.huffpost.com/entry/elon-musk-recession-good-money-raining-on-fools_n_6292668ee4b0edd2d0249b51,Lucrative tax breaks and government loan money have definitely rained down on Musk.,business,"May 28, 2022, 07:55 PM EDT"
106,Lawsuit Accuses Elon Musk Of Trashing Twitter To Drive Down Price,Mary Papenfuss,https://www.huffpost.com/entry/elon-musk-twitter-lawsuit-scheme-shareholders_n_62919819e4b0933e7373aba5,The shareholder suit argues Musk's criticism of Twitter is aimed at depressing its stock price because he wants to walk away from the deal — or pay less.,business,"May 28, 2022, 09:59 AM EDT"
107,Trader Joe’s Cut Workers' Retirement Benefits During The Pandemic,Dave Jamieson,https://www.huffpost.com/entry/trader-joes-cuts-retirement-benefits-union_n_628fb71ce4b0415d4d828679,The company's decision to slash its contributions to retirement plans has employees talking about a union.,business,"May 27, 2022, 05:45 AM EDT"
108,Walmart’s Juneteenth-Themed Ice Cream Ignites Outrage On Twitter,Jazmin Tolliver,https://www.huffpost.com/entry/walmart-juneteenth-themed-ice-cream_n_628d042ce4b0cda85db67999,The company issued an apology after widespread backlash across social media.,business,"May 24, 2022, 04:22 PM EDT"
109,Activision Blizzard Workers Form Gaming Industry's First Major Union,Dave Jamieson,https://www.huffpost.com/entry/activision-blizzard-workers-gaming-industrys-first-major-union_n_628be5a8e4b05cfc268fe04a,Wisconsin-based employees of subsidiary Raven Software delivered a blowout victory in the union's favor.,business,"May 23, 2022, 04:39 PM EDT | Updated May 23, 2022"
110,Wimbledon Player Comes To Aid Of Fainting Ball Boy With Candy,CHRIS LEHOURITES,https://www.huffpost.com/entry/wimbledon-tennis-player-ball-boy-candy_n_62ba14f2e4b0355d9bbb208c,"“I just reacted how I think anyone would. He was not in a good spot,” tennis player Jodie Burrage said.",sport,"Jun 27, 2022, 04:53 PM EDT"
111,WNBA Basketball Star Brittney Griner Appears In Russian Court Ahead Of Trial,Jim Heintz,https://www.huffpost.com/entry/brittney-griner-trial-moscow-cannabis-wnba_n_62ba0840e4b06dcd4638fc59,The Phoenix Mercury star was ordered to stand Friday and could face 10 years in prison if convicted on charges of large-scale transportation of drugs.,sport,"Jun 27, 2022, 06:18 AM EDT | Updated 2 hours ago"
112,Angels Pitcher Throws Sunflower Seeds At Mariners After Bench-Clearing Brawl,Ron Dicker,https://www.huffpost.com/entry/raisel-iglesias-sunflower-seeds_n_62b9dad3e4b0cdccbe6f1ff9,"Raisel Iglesias was among the six players ejected from the game, along with both managers.",sport,"Jun 27, 2022, 01:49 PM EDT"
113,"Dog Interrupts International Soccer Match, Insists On Belly Rubs",Josephine Harvey,https://www.huffpost.com/entry/dog-belly-rub-soccer-match_n_62b93c30e4b0cf43c866d24d,The friendly pup had to be carried off after he demanded pats at a Chile-Venezuela game.,sport,"Jun 27, 2022, 02:53 AM EDT"
114,Jan. 6 Committee Investigating Trump’s Coup Attempt Announces Surprise Hearing,S.V. Date,https://www.huffpost.com/entry/jan-6-committee-surprise-hearing_n_62b9e8f3e4b0c77098bfb9e8,The panel just last week said it would take a two-week break and resume after the congressional July Fourth recess.,sport,"Jun 27, 2022, 01:36 PM EDT | Updated 4 hours ago"
115,Ben Affleck's 10-Year-Old Son Drives Lamborghini Rental Into Parked Car,Ron Dicker,https://www.huffpost.com/entry/ben-affleck-son-lamborghini_n_62b9aa89e4b06169caa9e6f3,"No harm done, said the dealer after viral video showed young Samuel Affleck, his famous father and Jennifer Lopez in their misadventure.",sport,"Jun 27, 2022, 10:26 AM EDT | Updated 6 hours ago"
116,"My Husband And I Are Trying To Start A Family. Six Months Ago, I Had An Abortion.",Kate Sark,https://www.huffpost.com/entry/abortion-for-wanted-pregnancy_n_62b8bb5be4b04a61736c1fd0,"""Our choice was, and remains, controversial. But it shouldn’t be.""",sport,"Jun 27, 2022, 09:00 AM EDT | Updated 7 hours ago"
117,More Than 1 Million Voters Switch To GOP In Warning For Dems,Steve Peoples and Aaron Kessler,https://www.huffpost.com/entry/election-2022-party-switchers_n_62b9ad0ee4b06594c1e76604,Nowhere is the shift more pronounced — and dangerous for Democrats — than in the suburbs.,sport,"Jun 27, 2022, 09:19 AM EDT"
118,Supreme Court Sides With Coach Who Sought To Pray After Game,JESSICA GRESKO,https://www.huffpost.com/entry/supreme-court-praying-coach_n_62b9bb54e4b0cdccbe6ed2be,The court ruled 6-3 along ideological lines for the coach. The justices said the coach's prayer was protected by the First Amendment.,sport,"Jun 27, 2022, 10:16 AM EDT | Updated 2 hours ago"
119,Alexandria Ocasio-Cortez Says Anti-Roe Trump Justices Should Be Impeached For 'Lying',Ron Dicker,https://www.huffpost.com/entry/alexandria-ocasio-cortez-impeach-supreme-court-justices_n_62b97369e4b06594c1e6e095,The progressive House member said conservative judges nominated by Donald Trump misrepresented their Roe v. Wade views during confirmation hearings.,sport,"Jun 27, 2022, 07:20 AM EDT"
120,Chicago White Sox Help Turn 7-Year-Old Cancer Patient's Dream Into A Reality,Ben Blanchet,https://www.huffpost.com/entry/chicago-white-sox-cancer-patient-boy-dream_n_62b7c5dfe4b04a61736b5f01,"Beau Dowling, who was diagnosed with a neuroblastoma, got an up-close-and-personal experience on the field before an MLB game.",sport,"Jun 25, 2022, 11:42 PM EDT | Updated Jun 26, 2022"
121,Sha'Carri Richardson Flops In First Heat Of U.S. Championships,AP,https://www.huffpost.com/entry/shacarri-richardson-first-heat-100_n_62b5d22ae4b04a617369a171,The sprint star did not speak with reporters after her disappointing 100-meter race.,sport,"Jun 24, 2022, 12:00 PM EDT"
122,Spike Lee Consoles Stephen A. Smith In Viral NBA Draft Moment,Ron Dicker,https://www.huffpost.com/entry/spike-lee-stephen-a-smith-nba-draft_n_62b5b2b3e4b06594c1e3246a,The movie director and the ESPN star commiserated over the Knicks' chaotic draft night.,sport,"Jun 24, 2022, 11:26 AM EDT | Updated Jun 24, 2022"
123,"U.S. Swimmer Anita Alvarez Blacks Out Underwater At World Championships, Saved By Coach",Ron Dicker,https://www.huffpost.com/entry/anita-alvarez-lost-consciousness_n_62b431ade4b0cf43c8606bfd,"Team USA coach Anita Fuentes said lifeguards didn't react, so she jumped in to rescue the unconscious athlete at the bottom of the pool.",sport,"Jun 23, 2022, 07:09 AM EDT"
124,NFL Seeks Arbitration For Flores' Racial Discrimination Suit,LARRY NEUMEISTER,https://www.huffpost.com/entry/brian-flores-nfl-lawsuit_n_62b3597ee4b0c77098b68001,The NFL and six of its teams have filed for arbitration in the lawsuit that alleges they engaged in racial discrimination.,sport,"Jun 22, 2022, 02:49 PM EDT | Updated Jun 22, 2022"
125,"Jaylon Ferguson, Baltimore Ravens Linebacker, Dies At 26",Ron Dicker,https://www.huffpost.com/entry/jaylon-ferguson-baltimore-ravens-linebacker-dies-26_n_62b31db8e4b04a6173643e5d,"""We mourn a life lost much too soon,"" the team said.",sport,"Jun 22, 2022, 10:14 AM EDT | Updated Jun 23, 2022"
126,Longtime MLB Pitcher Kyle Farnsworth Is Now A Super-Jacked Bodybuilder,Ron Dicker,https://www.huffpost.com/entry/kyle-farnsworth-bodybuilder-mlb_n_62b305aee4b0cdccbe6522f1,The former Cubs and Yankees player got shredded for his first competition.,sport,"Jun 22, 2022, 09:31 AM EDT"
127,Deshaun Watson Settles 20 Of 24 Sexual Misconduct Lawsuits,Juan A. Lozano,https://www.huffpost.com/entry/deshaun-watson-sexual-misconduct-settlements_n_62b1f7f3e4b06594c1dc22e3,The Cleveland Browns quarterback has been accused of sexual assault and harassment.,sport,"Jun 21, 2022, 12:59 PM EDT"
128,Jan. 6 Committee Investigating Trump’s Coup Attempt Announces Surprise Hearing,S.V. Date,https://www.huffpost.com/entry/jan-6-committee-surprise-hearing_n_62b9e8f3e4b0c77098bfb9e8,The panel just last week said it would take a two-week break and resume after the congressional July Fourth recess.,sport,"Jun 27, 2022, 01:36 PM EDT | Updated 4 hours ago"
129,Ben Affleck's 10-Year-Old Son Drives Lamborghini Rental Into Parked Car,Ron Dicker,https://www.huffpost.com/entry/ben-affleck-son-lamborghini_n_62b9aa89e4b06169caa9e6f3,"No harm done, said the dealer after viral video showed young Samuel Affleck, his famous father and Jennifer Lopez in their misadventure.",sport,"Jun 27, 2022, 10:26 AM EDT | Updated 6 hours ago"
130,"My Husband And I Are Trying To Start A Family. Six Months Ago, I Had An Abortion.",Kate Sark,https://www.huffpost.com/entry/abortion-for-wanted-pregnancy_n_62b8bb5be4b04a61736c1fd0,"""Our choice was, and remains, controversial. But it shouldn’t be.""",sport,"Jun 27, 2022, 09:00 AM EDT | Updated 7 hours ago"
131,More Than 1 Million Voters Switch To GOP In Warning For Dems,Steve Peoples and Aaron Kessler,https://www.huffpost.com/entry/election-2022-party-switchers_n_62b9ad0ee4b06594c1e76604,Nowhere is the shift more pronounced — and dangerous for Democrats — than in the suburbs.,sport,"Jun 27, 2022, 09:19 AM EDT"
132,Supreme Court Sides With Coach Who Sought To Pray After Game,JESSICA GRESKO,https://www.huffpost.com/entry/supreme-court-praying-coach_n_62b9bb54e4b0cdccbe6ed2be,The court ruled 6-3 along ideological lines for the coach. The justices said the coach's prayer was protected by the First Amendment.,sport,"Jun 27, 2022, 10:16 AM EDT | Updated 2 hours ago"
133,"Dog Interrupts International Soccer Match, Insists On Belly Rubs",Josephine Harvey,https://www.huffpost.com/entry/dog-belly-rub-soccer-match_n_62b93c30e4b0cf43c866d24d,The friendly pup had to be carried off after he demanded pats at a Chile-Venezuela game.,sport,"Jun 27, 2022, 02:53 AM EDT"
134,"Caleb Swanigan, Former NBA First-Round Pick, Dead At 25",Ron Dicker,https://www.huffpost.com/entry/caleb-swanigan-dead_n_62b1eaf6e4b06169ca9e8f3c,The former Purdue star played his last NBA game in March 2020 before the pandemic shut down the league.,sport,"Jun 21, 2022, 12:59 PM EDT"
135,Sue Bird Plays Final Regular Season Game In New York And It Hits Close To Home,AP,https://www.huffpost.com/entry/sue-bird-new-york-farewell_n_62b09f0be4b0cdccbe615b07,"The Seattle Storm superstar, who grew up near NYC and played high school ball in Queens, is set to retire from the WNBA at the end of the season.",sport,"Jun 20, 2022, 12:57 PM EDT"
136,Phillies' Rhys Hoskins Pulls Petty Move On Fan During Nationals Game,Ron Dicker,https://www.huffpost.com/entry/rhys-hoskins-fan-foul-ball_n_62b07fc7e4b0cf43c85a35fa,"""That wasn't very nice,"" an announcer said.",sport,"Jun 20, 2022, 11:39 AM EDT"
137,Swimming's World Governing Body Adopts New Transgender Policy For Athletes,AP,https://www.huffpost.com/entry/fina-transgender-athlete-policy-rules_n_62af6448e4b0c77098afb0b9,"Only swimmers who transitioned before the age of 12 will be allowed to compete in women’s events, FINA members voted Sunday.",sport,"Jun 19, 2022, 02:09 PM EDT"
138,Klay Thompson Describes Warriors' NBA Title With Quaint Old-Time Phrase And Fans Love It,Ron Dicker,https://www.huffpost.com/entry/klay-thompson-holy-cannoli_n_62ac53bce4b06594c1d502ba,The Warriors guard overcame two major injuries to win his fourth NBA championship.,sport,"Jun 17, 2022, 07:25 AM EDT"
139,Ayesha Curry Burns Celtics Fans After Warriors Win Title With Stephen Curry As MVP,Ron Dicker,https://www.huffpost.com/entry/ayesha-curry-boston-stephen-curry-goat_n_62ac44cde4b06169ca974134,The celebrity chef served a spicy tweet to haters who said she can't cook.,sport,"Jun 17, 2022, 06:47 AM EDT"
